# 中国·国家地名信息库 地名公告
# https://dmfw.mca.gov.cn/nameChange.html
# https://dmfw.mca.gov.cn/name/getListOther?title=&pageNum=1&pageSize=12
#
# word	pinyin

001乡道	001xiāngdào
一泵路	Yībèng Lù
一清巷	Yīqīngxiàng
一渡港桥	Yīdùgǎngqiáo
一燕路	Yīyàn Lù
一片一巷	Yīpiàn 1 Xiàng
一片一直巷	Yīpiàn 1 Zhíxiàng
一片七巷	Yīpiàn 7 Xiàng
一片三十一巷	Yīpiàn 31 Xiàng
一片三十巷	Yīpiàn 30 Xiàng
一片三巷	Yīpiàn 3 Xiàng
一片三直巷	Yīpiàn 3 Zhíxiàng
一片东一巷	Yīpiàn Dōng 1 Xiàng
一片东三巷	Yīpiàn Dōng 3 Xiàng
一片东二巷	Yīpiàn Dōng 2 Xiàng
一片东四巷	Yīpiàn Dōng 4 Xiàng
一片中一巷	Yīpiàn Zhōng 1 Xiàng
一片中三巷	Yīpiàn Zhōng 3 Xiàng
一片中二巷	Yīpiàn Zhōng 2 Xiàng
一片中五巷	Yīpiàn Zhōng 5 Xiàng
一片中四巷	Yīpiàn Zhōng 4 Xiàng
一片九巷	Yīpiàn 9 Xiàng
一片二十一巷	Yīpiàn 21 Xiàng
一片二十七巷	Yīpiàn 27 Xiàng
一片二十三巷	Yīpiàn 23 Xiàng
一片二十九巷	Yīpiàn 29 Xiàng
一片二十二巷	Yīpiàn 22 Xiàng
一片二十五巷	Yīpiàn 25 Xiàng
一片二十八巷	Yīpiàn 28 Xiàng
一片二十六巷	Yīpiàn 26 Xiàng
一片二十四巷	Yīpiàn 24 Xiàng
一片二十巷	Yīpiàn 20 Xiàng
一片二巷	Yīpiàn 2 Xiàng
一片二直巷	Yīpiàn 2 Zhíxiàng
一片五巷	Yīpiàn 5 Xiàng
一片八巷	Yīpiàn 8 Xiàng
一片六巷	Yīpiàn 6 Xiàng
一片北一巷	Yīpiàn Běi 1 Xiàng
一片北三巷	Yīpiàn Běi 3 Xiàng
一片北二巷	Yīpiàn Běi 2 Xiàng
一片北五巷	Yīpiàn Běi 5 Xiàng
一片北四巷	Yīpiàn Běi 4 Xiàng
一片北畔一巷	Yīpiàn Běipàn 1 Xiàng
一片北畔三巷	Yīpiàn Běipàn 3 Xiàng
一片北畔二巷	Yīpiàn Běipàn 2 Xiàng
一片北畔五巷	Yīpiàn Běipàn 5 Xiàng
一片北畔四巷	Yīpiàn Běipàn 4 Xiàng
一片十一巷	Yīpiàn 11 Xiàng
一片十七巷	Yīpiàn 17 Xiàng
一片十三巷	Yīpiàn 13 Xiàng
一片十九巷	Yīpiàn 19 Xiàng
一片十二巷	Yīpiàn 12 Xiàng
一片十五巷	Yīpiàn 15 Xiàng
一片十八巷	Yīpiàn 18 Xiàng
一片十六巷	Yīpiàn 16 Xiàng
一片十四巷	Yīpiàn 14 Xiàng
一片十巷	Yīpiàn 10 Xiàng
一片南畔一巷	Yīpiàn Nánpàn 1 Xiàng
一片南畔一横巷	Yīpiàn Nánpàn 1 Héngxiàng
一片南畔一直巷	Yīpiàn Nánpàn 1 Zhíxiàng
一片南畔七巷	Yīpiàn Nánpàn 7 Xiàng
一片南畔七横巷	Yīpiàn Nánpàn 7 Héngxiàng
一片南畔三巷	Yīpiàn Nánpàn 3 Xiàng
一片南畔三横巷	Yīpiàn Nánpàn 3 Héngxiàng
一片南畔三直巷	Yīpiàn Nánpàn 3 Zhíxiàng
一片南畔九巷	Yīpiàn Nánpàn 9 Xiàng
一片南畔九横巷	Yīpiàn Nánpàn 9 Zhíxiàng
一片南畔二巷	Yīpiàn Nánpàn 2 Xiàng
一片南畔二横巷	Yīpiàn Nánpàn 2 Héngxiàng
一片南畔二直巷	Yīpiàn Nánpàn 2 Zhíxiàng
一片南畔五巷	Yīpiàn Nánpàn 5 Xiàng
一片南畔五横巷	Yīpiàn Nánpàn 5 Héngxiàng
一片南畔五直巷	Yīpiàn Nánpàn 5 Zhíxiàng
一片南畔八巷	Yīpiàn Nánpàn 8 Xiàng
一片南畔八横巷	Yīpiàn Nánpàn 8 Héngxiàng
一片南畔六巷	Yīpiàn Nánpàn 6 Xiàng
一片南畔六横巷	Yīpiànnánpàn 6 Héngxiàng
一片南畔四巷	Yīpiàn Nánpàn 4 Xiàng
一片南畔四横巷	Yīpiàn Nánpàn 4 Héngxiàng
一片南畔四直巷	Yīpiàn Nánpàn 4 Zhíxiàng
一片四巷	Yīpiàn 4 Xiàng
一片四直巷	Yīpiàn 4 Zhíxiàng
一片新一直路	Yīpiànxīn Yīzhílù
一片新二直路	Yīpiànxīn Èrzhílù
一片老厝一巷	Yīpiàn Lǎocuò 1 Xiàng
一片老厝七巷	Yīpiàn Lǎocuò 7 Xiàng
一片老厝三巷	Yīpiàn Lǎocuò 3 Xiàng
一片老厝九巷	Yīpiàn Lǎocuò 9 Xiàng
一片老厝二巷	Yīpiàn Lǎocuò 2 Xiàng
一片老厝五巷	Yīpiàn Lǎocuò 5 Xiàng
一片老厝八巷	Yīpiàn Lǎocuò 8 Xiàng
一片老厝六巷	Yīpiàn Lǎocuò 6 Xiàng
一片老厝十一巷	Yīpiàn Lǎocuò 11 Xiàng
一片老厝十七巷	Yīpiàn Lǎocuò 17 Xiàng
一片老厝十三巷	Yīpiàn Lǎocuò 13 Xiàng
一片老厝十二巷	Yīpiàn Lǎocuò 12 Xiàng
一片老厝十五巷	Yīpiàn Lǎocuò 15 Xiàng
一片老厝十八巷	Yīpiàn Lǎocuò 18 Xiàng
一片老厝十六巷	Yīpiàn Lǎocuò 16 Xiàng
一片老厝十四巷	Yīpiàn Lǎocuò 14 Xiàng
一片老厝十巷	Yīpiàn Lǎocuò 10 Xiàng
一片老厝四巷	Yīpiàn Lǎocuò 4 Xiàng
一片老村一横巷	Yìpiàn Lǎocūn 1 Héngxiàng
一片老村七横巷	Yìpiàn Lǎocūn 7 Héngxiàng
一片老村三横巷	Yìpiàn Lǎocūn 3 Héngxiàng
一片老村九横巷	Yìpiàn Lǎocūn 9 Héngxiàng
一片老村二横巷	Yìpiàn Lǎocūn 2 Héngxiàng
一片老村五横巷	Yìpiàn Lǎocūn 5 Héngxiàng
一片老村八横巷	Yìpiàn Lǎocūn 8 Héngxiàng
一片老村六横巷	Yìpiàn Lǎocūn 6 Héngxiàng
一片老村十一横巷	Yìpiàn Lǎocūn 11 Héngxiàng
一片老村十七横巷	Yìpiàn Lǎocūn 17 Héngxiàng
一片老村十三横巷	Yìpiàn Lǎocūn 13 Héngxiàng
一片老村十二横巷	Yìpiàn Lǎocūn 12 Héngxiàng
一片老村十五横巷	Yìpiàn Lǎocūn 15 Héngxiàng
一片老村十六横巷	Yìpiàn Lǎocūn 16 Héngxiàng
一片老村十四横巷	Yìpiàn Lǎocūn 14 Héngxiàng
一片老村十横巷	Yìpiàn Lǎocūn 10 Héngxiàng
一片老村四横巷	Yìpiàn Lǎocūn 4 Héngxiàng
一片西一巷	Yīpiàn Xī 1 Xiàng
一片西三巷	Yīpiàn Xī 3 Xiàng
一片西二巷	Yīpiàn Xī 2 Xiàng
一片西五巷	Yīpiàn Xī 5 Xiàng
一片西四巷	Yīpiàn Xī 4 Xiàng
一片长寿路	Yīpiàn Chángshòu Lù
一玖晋菲首府	Yījiǔjìnfēi Shǒufǔ
一环路	1 Huánlù / Yīhuán Lù
一珈路	Yījiā Lù
一甲大巷低街	Yījiǎdàxiàng Dījiē
一甲大巷低街一巷	Yījiǎdàxiàng Dījiē 1 Xiàng
一甲大巷低街二巷	Yījiǎdàxiàng Dījiē 2 Xiàng
一甲大巷街	Yījiǎdàxiàng Jiē
一甲大街克昌堂巷	Yījiǎdàjiē Kèchāngtáng Xiàng
一甲大街福寿巷	Yījiǎdàjiē Fúshòu Xiàng
一甲大街花园堂巷	Yījiǎdàjiē Huāyuántáng Xiàng
一甲巷	Yījiǎ Xiàng
一甲弄	Yījiǎ Lòng
一甲村一甲大街	Yījiǎcūn Yījiǎ Dàjiē
一甲村上高街	Yījiǎcūn Shànggāo Jiē
一甲湾路	Yījiǎwānlù
一甲街	1jiǎjiē / Yījiǎ Jiē
一甲路	Yījiă Lù / Yījiǎ Lù
一白公路	Yībái Gōnglù
一百一十千伏均佳变电站	Yībǎiyīshíqiānfú Jūnjiā Biàndiànzhàn
一百一十千伏宝龙北变电站	Yībǎiyīshí Qiānfú Bǎolóngběi Biàndiànzhàn
一百一十千伏物流园变电站	Yībǎiyīshíqiānfú Wùliúyuán Biàndiànzhàn
一百一十千伏良安田变电站	Yībǎiyīshí Qiānfú Liángāntián Biàndiànzhàn
一百一十千伏西坑变电站	Yībǎiyīshíqiānfú Xīkēng Biàndiànzhàn
一百一十千伏雅宝变电站	Yībǎiyīshíqiānfú Yǎbǎo Biàndiànzhàn
一百一十千伏骏业变电站	Yībǎiyīshíqiānfú Jùnyè Biàndiànzhàn
一百一十千伏麒麟变电站	Yībǎiyīshí Qiānfú Qílín Biàndiànzhàn
一百一十千伏龙翔二变电站	Yībǎiyīshí Qiānfú Lóngxiáng Èr Biàndiànzhàn
一百十一千伏岸都变电站	Yībǎishíyīqiānfú Àndū Biàndiànzhàn
一直巷	1 Zhíxiàng
一石路	Yīshí Lù
一码界路	Yīmǎjièlù
一码路	Yīmă Lù
一砖街	Yīzhuān Jiē
一碗井	Yīwǎnjǐng
一碗水路	Yìwănshuĭ Lù / Yìwǎnshuǐ Lù / Yīwănshuĭ Lù / Yīwǎnshuǐ Lù
一社北路	Yīshèběilù
一社南路	Yīshènánlù
一社路	Yīshèlù
一祥里	Yīxiáng Lǐ
一福路	Yīfú Lù
一站路	Yīzhàn Lù
一箭河路	Yījiànhé Lù
一米街	Yīmǐjiē
一级站社区	Yījízhàn Shèqū
一级站路	Yījízhàn Lù
一级路	Yījí Lù
一线天巷	Yīxiàntiān Xiàng
一线天路	Yīxiàntiān Lù
一组	Yīzǔ
一组一巷	Yīzǔyī Xiàng
一组一路	Yīzǔ 1 Lù
一组三巷	Yīzǔsān Xiàng
一组东一巷	Yīzǔdōngyī Xiàng
一组东七巷	Yīzǔdōngqī Xiàng
一组东三巷	Yīzǔdōngsān Xiàng
一组东九巷	Yīzǔdōngjiǔ Xiàng
一组东二巷	Yīzǔdōng'èr Xiàng
一组东五巷	Yīzǔdōngwǔ Xiàng
一组东八巷	Yīzǔdōngbā Xiàng
一组东六巷	Yīzǔdōngliù Xiàng
一组东十一巷	Yīzǔdōngshíyī Xiàng
一组东十二巷	Yīzǔdōngshí'èr Xiàng
一组东十巷	Yīzǔdōngshí Xiàng
一组东四巷	Yīzǔdōngsì Xiàng
一组东巷	Yīzǔ Dōngxiàng
一组东街	Yīzǔ Dōngjiē
一组中巷	Yīzǔ Zhōngxiàng
一组中街	Yīzǔ Zhōngjiē
一组主街	Yīzǔ Zhǔjiē
一组主路	Yīzǔzhǔlù
一组二巷	Yīzǔèr Xiàng
一组二路	Yīzǔ 2 Lù
一组光明巷	Yīzǔguāngmíng Xiàng
一组前巷	Yīzǔqiánxiàng
一组前街	Yīzǔ Qiánjiē
一组南巷	Yīzǔ Nánxiàng
一组发达路	Yīzǔfādá Lù
一组后巷	Yīzǔhòuxiàng
一组后街	Yīzǔ Hòujiē
一组和顺路	Yīzǔhéshùnlù
一组四巷	Yīzǔsì Xiàng
一组大路	Yīzǔdàlù
一组如意巷	Yīzǔrúyì Xiàng
一组巷	Yīzǔxiàng
一组新东巷	Yīzǔxīndōngxiàng
一组新区路	Yīzǔxīnqū Lù
一组新巷	Yīzǔ Xīnxiàng
一组村一巷	Yīzǔcūnyīxiàng
一组村三巷	Yīzǔcūnsānxiàng
一组村二巷	Yīzǔcūnèrxiàng
一组村五巷	Yīzǔcūnwǔxiàng
一组村四巷	Yīzǔcūnsìxiàng
一组村尾巷	Yīzǔcūnwěixiàng
一组环村路	Yīzǔ Huáncūn Lù
一组福禄巷	Yīzǔfúlù Xiàng
一组西一巷	Yīzǔxīyī Xiàng
一组西七巷	Yīzǔxīqī Xiàng
一组西三巷	Yīzǔxīsān Xiàng
一组西九巷	Yīzǔxījiǔ Xiàng
一组西二巷	Yīzǔxī'èr Xiàng
一组西五巷	Yīzǔxīwǔ Xiàng
一组西八巷	Yīzǔxībā Xiàng
一组西六巷	Yīzǔxīliù Xiàng
一组西十一巷	Yīzǔxīshíyī Xiàng
一组西十二巷	Yīzǔxīshí'èr Xiàng
一组西十巷	Yīzǔxīshí Xiàng
一组西四巷	Yīzǔxīsì Xiàng
一组西巷	Yīzǔ Xīxiàng
一组路	Yīzǔ Lù
一经堂茶山路	Yījīngtángcháshān Lù
一经堂路	Yījīngtáng Lù
一统碑路	Yītǒngbēi Lù
一联东畔围一巷	Yīlián Dōngpànwéi 1 Xiàng
一联东畔围七巷	Yīlián Dōngpànwéi 7 Xiàng
一联东畔围三十七巷	Yīlián Dōngpànwéi 37 Xiàng
一联东畔围三十九巷	Yīlián Dōngpànwéi 39 Xiàng
一联东畔围三十八巷	Yīlián Dōngpànwéi 38 Xiàng
一联东畔围三十六巷	Yīlián Dōngpànwéi 36 Xiàng
一联东畔围三巷	Yīlián Dōngpànwéi 3 Xiàng
一联东畔围九巷	Yīlián Dōngpànwéi 9 Xiàng
一联东畔围二巷	Yīlián Dōngpànwéi 2 Xiàng
一联东畔围五巷	Yīlián Dōngpànwéi 5 Xiàng
一联东畔围八巷	Yīlián Dōngpànwéi 8 Xiàng
一联东畔围六巷	Yīlián Dōngpànwéi 6 Xiàng
一联东畔围十一巷	Yīlián Dōngpànwéi 11 Xiàng
一联东畔围十七巷	Yīlián Dōngpànwéi 17 Xiàng
一联东畔围十三巷	Yīlián Dōngpànwéi 13 Xiàng
一联东畔围十九巷	Yīlián Dōngpànwéi 19 Xiàng
一联东畔围十二巷	Yīlián Dōngpànwéi 12 Xiàng
一联东畔围十八巷	Yīlián Dōngpànwéi 18 Xiàng
一联东畔围十六巷	Yīlián Dōngpànwéi 16 Xiàng
一联东畔围十巷	Yīlián Dōngpànwéi 10 Xiàng
一联东畔围四十一巷	Yīlián Dōngpànwéi 41 Xiàng
一联东畔围四十巷	Yīlián Dōngpànwéi 40 Xiàng
一联东畔围四巷	Yīlián Dōngpànwéi 4 Xiàng
一联亭城围一巷	Yīlián Tíngchéngwéi 1 Xiàng
一联亭城围三巷	Yīlián Tíngchéngwéi 3 Xiàng
一联亭城围二巷	Yīlián Tíngchéngwéi 2 Xiàng
一联亭城围四巷	Yīlián Tíngchéngwéi 4 Xiàng
一联西畔围一巷	Yīlián Xīpànwéi 1 Xiàng
一联西畔围七巷	Yīlián Xīpànwéi 7 Xiàng
一联西畔围三巷	Yīlián Xīpànwéi 3 Xiàng
一联西畔围九巷	Yīlián Xīpànwéi 9 Xiàng
一联西畔围二巷	Yīlián Xīpànwéi 2 Xiàng
一联西畔围五巷	Yīlián Xīpànwéi 5 Xiàng
一联西畔围八巷	Yīlián Xīpànwéi 8 Xiàng
一联西畔围六巷	Yīlián Xīpànwéi 6 Xiàng
一联西畔围十一巷	Yīlián Xīpànwéi 11 Xiàng
一联西畔围十三巷	Yīlián Xīpànwéi 13 Xiàng
一联西畔围十二巷	Yīlián Xīpànwéi 12 Xiàng
一联西畔围十巷	Yīlián Xīpànwéi 10 Xiàng
一联西畔围四巷	Yīlián Xīpànwéi 4 Xiàng
一联西畔庵后新厝围一巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 1 Xiàng
一联西畔庵后新厝围七巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 7 Xiàng
一联西畔庵后新厝围三巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 3 Xiàng
一联西畔庵后新厝围九巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 9 Xiàng
一联西畔庵后新厝围二巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 2 Xiàng
一联西畔庵后新厝围五巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 5 Xiàng
一联西畔庵后新厝围八巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 8 Xiàng
一联西畔庵后新厝围六巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 6 Xiàng
一联西畔庵后新厝围四巷	Yīlián Xīpàn Ānhòu Xīncuòwéi 4 Xiàng
一股路	Yīgǔ Lù
一致路	Yízhì Lù
一色巷	Yīsèxiàng
一苇路	Yīwěi Lù
一蔡路	Yīcài Lù
一街	Yī Jiē
一街北	Yījiēběi
一街北巷	1 Jiē Běixiàng
一街南	Yījiēnán
一街南巷	1 Jiē Nánxiàng
一街社区安踏路	Yījiē Shèqū Āntà Lù
一街社区富康街	Yījiē Shèqū Fùkāng Jiē
一街社区玉竹路	Yījiē Shèqū Yùzhú Lù
一街社区百草街	Yījiē Shèqū Bǎicǎo Jiē
一街社区食品街	Yījiē Shèqū Shípǐn Jiē
一街路	Yījiē Lù
一观路	Yīguān Lù
一言九鼎街	
一贤大厦	Yīxián Dàshà
一趟街	Yītàngjiē
一路	Yílù
一路南街	Yílùnánjiē
一达路	Yīdá Lù
一连生产路	Yīlián Shēngchǎnlù
一通路	Yītōng Lù
一道口路	Yīdàokǒulù
一道巷	1 Dào Xiàng
一道湾路	Yīdàowān Lù
一道街	1 Dào Jiē / Yīdào Jiē
一道街西	Yīdàojiēxī
一道路	1 Dàolù / Yīdào Lù
一都路	Yīdū Lù
一里冲巷	Yīlǐchōngxiàng
一里坡路	Yīlǐpōlù
一里巷	Yīlǐ Xiàng
一里平路	Yīlǐpínglù
一里庄一巷	Yīlǐzhuāngyīxiàng
一里庄三巷	Yīlǐzhuāngsānxiàng
一里庄二巷	Yīlǐzhuāng2xiàng
一里庄四巷	Yīlǐzhuāngsìxiàng
一金山路	
一镇道北二巷	Yīzhèndào Běi 2 Xiàng
一镇道北巷	Yīzhèndào Běixiàng
一镇道南巷	Yīzhèndào Nánxiàng
一队一巷	Yīduìyīxiàng
一队一路	Yìduì 1 Lù
一队三巷	Yīduìsānxiàng
一队二巷	Yīduìèrxiàng
一队二路	Yìduì 2 Lù
一队北路	Yīduìběilù
一队北路东一巷	Yīduìběilùdōngyīxiàng
一队北路东三巷	Yīduìběilùdōngsānxiàng
一队北路东二巷	Yīduìběilùdōngèrxiàng
一队北路东五巷	Yīduìběilùdōngwǔxiàng
一队北路东六巷	Yīduìběilùdōngliùxiàng
一队北路东四巷	Yīduìběilùdōngsìxiàng
一队北路东巷	Yīduìběilùdōngxiàng
一队南路	Yīduìnánlù
一队南路东一巷	Yīduìnánlùdōngyīxiàng
一队大坡路	Yīduìdàpōlù
一队巷	Yīduì Xiàng
一队新村东街一巷	Yīduìxīncūn Dōngjiē 1 Xiàng
一队新村东街二巷	Yīduì Xīncūndōngjiē 2 Xiàng
一队新村西街一巷	Yīduìxīncūn Xījiē 1 Xiàng
一队新村西街七巷	Yīduìxīncūn Xījiē 7 Xiàng
一队新村西街三巷	Yīduìxīncūn Xījiē 3 Xiàng
一队新村西街九巷	Yīduìxīncūn Xījiē 9 Xiàng
一队新村西街二巷	Yīduìxīncūn Xījiē 2 Xiàng
一队新村西街五巷	Yīduìxīncūn Xījiē 5 Xiàng
一队新村西街八巷	Yīduìxīncūn Xījiē 8 Xiàng
一队新村西街六巷	Yīduìxīncūn Xījiē 6 Xiàng
一队新村西街十一巷	Yīduìxīncūn Xījiē 11 Xiàng
一队新村西街十二巷	Yīduìxīncūn Xījiē 12 Xiàng
一队新村西街十巷	Yīduìxīncūn Xījiē 10 Xiàng
一队新村西街四巷	Yīduìxīncūn Xījiē 4 Xiàng
一队村中上一街三巷	Yīduìcūn Zhōngshàng 1 Jiē 3 Xiàng
一队村中上一街二巷	Yīduìcūn Zhōngshàng 1 Jiē 2 Xiàng
一队村中上二街一巷	Yīduìcūn Zhōngshàng 2 Jiē 1 Xiàng
一队村中上二街二巷	Yīduìcūn Zhōngshàng 2 Jiē 2 Xiàng
一队村中大街北一巷	Yīduìcūn Zhōngdàjiē Běi 1 Xiàng
一队村中大街北七巷	Yīduìcūn Zhōngdàjiē Běi 7 Xiàng
一队村中大街北三巷	Yīduìcūn Zhōngdàjiē Běi 3 Xiàng
一队村中大街北九巷	Yīduìcūn Zhōngdàjiē Běi 9 Xiàng
一队村中大街北二巷	Yīduìcūn Zhōngdàjiē Běi 2 Xiàng
一队村中大街北五巷	Yīduìcūn Zhōngdàjiē Běi 5 Xiàng
一队村中大街北八巷	Yīduìcūn Zhōngdàjiē Běi 8 Xiàng
一队村中大街北六巷	Yīduìcūn Zhōngdàjiē Běi 6 Xiàng
一队村中大街北十一巷	Yīduìcūn Zhōngdàjiē Běi 11 Xiàng
一队村中大街北十三巷	Yīduìcūn Zhōngdàjiē Běi 13 Xiàng
一队村中大街北十二巷	Yīduìcūn Zhōngdàjiē Běi 12 Xiàng
一队村中大街北十五巷	Yīduìcūn Zhōngdàjiē Běi 15 Xiàng
一队村中大街北十四巷	Yīduìcūn Zhōngdàjiē Běi 14 Xiàng
一队村中大街北十巷	Yīduìcūn Zhōngdàjiē Běi 10 Xiàng
一队村中大街北四巷	Yīduìcūn Zhōngdàjiē Běi 4 Xiàng
一队村中大街南一巷	īduìcūn Zhōngdàjiē Nán 1 Xiàng
一队村中大街南七巷	Yīduìcūn Zhōngdàjiē Nán 7 Xiàng
一队村中大街南三巷	Yīduìcūn Zhōngdàjiē Nán 3 Xiàng
一队村中大街南东一巷	Yīduìcūn Zhōngdàjiē Nándōng 1 Xiàng
一队村中大街南东三巷	Yīduìcūn Zhōngdàjiē Nándōng 3 Xiàng
一队村中大街南东二巷	Yīduìcūn Zhōngdàjiē Nándōng 2 Xiàng
一队村中大街南二巷	Yīduìcūn Zhōngdàjiē Nán 2 Xiàng
一队村中大街南五巷	Yīduìcūn Zhōngdàjiē Nán 5 Xiàng
一队村中大街南八巷	Yīduìcūn Zhōngdàjiē Nán 8 Xiàng
一队村中大街南六巷	Yīduìcūn Zhōngdàjiē Nán 6 Xiàng
一队村中大街南四巷	Yīduìcūn Zhōngdàjiē Nán 4 Xiàng
一队村前大街	Yīduìcūn Qiándàjiē
一队胡同	Yīduì Hútong
一队路	Yīduì Lù
一队路东一巷	Yīduìlùdōngyīxiàng
一队路东二巷	Yīduìlùdōngèrxiàng
一队路西一巷	Yīduìlùxīyīxiàng
一队路西二巷	Yīduìlùxīèrxiàng
一面坡路	1miànpōlù
一面山路	Yīmiànshān Lù
一面街	Yīmiàn Jiē
一顺巷	Yīshùn Xiàng
一顺路	Yīshùn Lù
一颗松路	Yīkēsōng Lù
一食堂路	Yīshítáng Lù
一马路	1 Mǎlù / Yīmǎ Lù
一鸣惊人街	
一鸣街	Yīmíngjiē
一鸣路	Yīmíng Lù
一龙路	Yīlóng Lù
丁一胡同	Dīng 1 Hútong
丁丁街	Dīngdīng Jiē
丁丁路	Dīngdīng Lù
丁七胡同	Dīng 7 Hútong
丁万廖路	Dīngwànliàolù
丁三胡同	Dīng 3 Hútong / Dīngsānhútòng
丁三街	Dīngsān Jiē
丁下路	Dīngxià Lù
丁东富康路	Dīngdōngfùkānglù
丁东路	Dīngdōng Lù
丁中街	Dīngzhōngjiē
丁中路	Dīngzhōnglù
丁丰东路	Dīngfēngdōnglù
丁丰西路	Dīngfēngxīlù
丁丰路	Dīngfēng Lù
丁乌路	Dīngwū Lù
丁乐李路	Dīnglèlǐlù
丁九胡同	Dīng 9 Hútong
丁九路	Dīngjiǔlù
丁二胡同	Dīng 2 Hútong
丁互路	Dīnghù Lù
丁五胡同	Dīng 5 Hútong
丁五路	Dīngwǔ Lù
丁井路	Dīngjǐng Lù
丁付路	Dīngfùlù
丁元路	Dīngyuán Lù
丁光下路	Dīngguāngxià Lù
丁八胡同	Dīng 8 Hútong
丁公庙前街	Dīnggōngmiàoqiánjiē
丁六胡同	Dīng 6 Hútong
丁兰社区路	
丁兴街	Dīngxìng Jiē
丁兴路	Dīngxìng Lù / Dīngxīng Lù
丁冲水库路	Dīngchōngshuǐkùlù
丁冲路	Dīngchōng Lù
丁凤路	Dīngfènglù
丁刘贸易路	Dīngliúmàoyìlù
丁刘路	Dīngliú Lù
丁前街	Dīngqiánjiē
丁前路	Dīngqián Lù
丁北街	Dīngběijiē
丁北路	Dīngběi Lù
丁十四路	Dīngshísìlù
丁千路	Dīngqiān Lù
丁午胡同	Dīngwǔ Hútong
丁华路	Dīnghuá Lù
丁南富民路	Dīngnánfùmínlù
丁南巷	Dīngnánxiàng
丁南村村民委员会	Dīngnáncūncūnmínwěiyuánhuì
丁南祥和路	Dīngnánxiánghélù
丁南街	
丁南路	Dīngnánlù
丁卯胡同	Dīngmǎo Hútong
丁厝上座厅内一巷	Dīngcuò Shàngzuò Tīngnèi 1 Xiàng
丁厝东围一巷	Dīngcuòdōngwéi 1 Xiàng
丁厝东围二巷	Dīngcuòdōngwéi 2 Xiàng
丁厝厅东一巷	Dīngcuòtīng Dōng 1 Xiàng
丁厝厅东二巷	Dīngcuòtīng Dōng 2 Xiàng
丁厝厅西二巷	Dīngcuòtīng Xī 2 Xiàng
丁厝处巷	Dīngcuòchù Xiàng
丁厝大坪街	Dīngcuòdàpíng Jiē
丁厝橄榄堂一巷	Dīngcuò Gǎnlǎntáng 1 Xiàng
丁厝橄榄堂三巷	Dīngcuò Gǎnlǎntáng 3 Xiàng
丁厝橄榄堂二巷	Dīngcuò Gǎnlǎntáng 2 Xiàng
丁原路	Dīngyuán Lù
丁双路	Dīngshuānglù
丁古冲路	Dīnggǔchōng Lù
丁古路	Dīnggǔ Lù
丁后街	Dīnghòujiē
丁后路	Dīnghòulù
丁吴路	Dīngwú Lù
丁周桥路	Dīngzhōuqiáo Lù
丁周路	Dīngzhōu Lù
丁喇线	Dīnglǎ Xiàn
丁四胡同	Dīng 4 Hútong
丁坊公路	Dīngfāng Gōnglù
丁坊前街	Dīngfāngqiánjiē
丁坊后街	Dīngfānghòujiē
丁坊大街	Dīngfāngdàjiē
丁坑一路	Dīngkēng 1 Lù
丁坑二北路	Dīngkēng 2 Běilù
丁坑二南路	Dīngkēng 2 Nánlù
丁坑二路	Dīngkēng 2 Lù
丁坑狮子一巷	Dīngkēngshīziyī Xiàng
丁坑狮子二巷	Dīngkēngshīzièr Xiàng
丁坑路	DīngKēng Lù
丁坝路	Dīngbà Lù
丁坡路	Dīngpō Lù
丁坦路	Dīngtǎn Lù
丁坪路	Dīngpíng lù
丁坳路	Dīngào Lù
丁垱路	Dīngdàng lù
丁埔古街	Dīngpǔ Gǔjiē
丁埔村丁埔新兴一横巷	Dīngpǔcūn DīngpǔXīnxīng 1 Héngxiàng
丁埔村丁埔新兴七横巷	Dīngpǔcūn DīngpǔXīnxīng 7 Héngxiàng
丁埔村丁埔新兴三横巷	Dīngpǔcūn DīngpǔXīnxīng 3 Héngxiàng
丁埔村丁埔新兴二横巷	Dīngpǔcūn DīngpǔXīnxīng 2 Héngxiàng
丁埔村丁埔新兴五横巷	Dīngpǔcūn DīngpǔXīnxīng 5 Héngxiàng
丁埔村丁埔新兴六横巷	Dīngpǔcūn DīngpǔXīnxīng 6 Héngxiàng
丁埔村丁埔新兴四横巷	Dīngpǔcūn DīngpǔXīnxīng 4 Héngxiàng
丁埔祠堂街	Dīngpǔ Cítáng Jiē
丁堂平安街	Dīngtángpíngān Jiē
丁堡一巷	Dīngbǎo 1 Xiàng
丁堡二巷	Dīngbǎo 2 Xiàng
丁堡大道	Dīngbǎo Dàdào
丁堡旧街	Dīngbǎojiù Jiē
丁堡村路	Dīngbǎocūn Lù
丁堤村老路	Dīngdīcūnlǎolù
丁塆路	Dīngwān Lù
丁塘路	Dīngtáng Lù
